id,n_victimas,fecha,hora,tipo_de_calle,dirección normalizada,comuna,longitud,latitud,victima_1,acusado,dia_semana,rol,victima_2,sexo,edad
2016-0001,1,2016-01-01,4,avenida,"piedra buena av. y fernandez de la cruz, f., gral. av.",8,-58.47533969,-34.68757022,moto,auto,viernes,conductor,moto,masculino,19
2016-0002,1,2016-01-02,1,autopista,"paz, gral. av. y de los corrales av.",9,-58.50877521,-34.66977709,auto,pasajeros,sábado,conductor,auto,masculino,70
2016-0003,1,2016-01-03,7,avenida,entre rios av. 2034,1,-58.39040293,-34.63189362,moto,auto,domingo,conductor,moto,masculino,30
2016-0004,1,2016-01-10,0,avenida,"larrazabal av. y villegas, conrado, gral.",8,-58.46503904,-34.68092974,moto,sd,domingo,conductor,moto,masculino,18
2016-0005,1,2016-01-21,5,avenida,"san juan av. y saenz peã‘a, luis, pres.",1,-58.38718297,-34.6224663,moto,pasajeros,jueves,conductor,moto,masculino,29
2016-0008,1,2016-01-24,18,avenida,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,moto,objeto fijo,domingo,conductor,moto,masculino,30
2016-0009,1,2016-01-24,19,calle,"nogoya y gonzalez, joaquin v.",11,-58.50095869,-34.6082544,moto,auto,domingo,pasajero_acompañante,moto,masculino,29
2016-0010,1,2016-01-29,15,autopista,"paz, gral. av. y de los corrales av.",9,-58.50877521,-34.66977709,moto,auto,viernes,conductor,moto,masculino,18
2016-0012,1,2016-02-08,1,avenida,"belgrano av. e irigoyen, bernardo de",1,-58.38048577,-34.61303893,moto,cargas,lunes,conductor,moto,masculino,22
2016-0013,1,2016-02-10,11,avenida,entre rios av. 1366,1,-58.39114932,-34.62477387,peaton,auto,miércoles,peaton,peaton,masculino,16
2016-0015,1,2016-02-14,5,avenida,"scalabrini ortiz, raul av. y vera",15,-58.4376002,-34.59912758,peaton,auto,domingo,peaton,peaton,femenino,16
2016-0016,1,2016-02-14,22,avenida,"regimiento de patricios av. y quinquela martin, benito",4,-58.36882665,-34.64291993,moto,auto,domingo,pasajero_acompañante,moto,femenino,19
2016-0017,1,2016-02-15,16,avenida,"acosta, mariano y janer, ana maria",8,-58.44989671,-34.65970435,peaton,moto,lunes,peaton,peaton,masculino,59
2016-0019,1,2016-02-17,9,calle,"de la torre, lisandro y garcia grande de zequeira, severo",9,-58.50990884,-34.65468721,peaton,pasajeros,miércoles,peaton,peaton,femenino,65
2016-0020,1,2016-02-17,16,calle,suipacha 156,1,-58.37952223,-34.60653282,peaton,auto,miércoles,peaton,peaton,masculino,59
2016-0021,1,2016-02-17,23,avenida,directorio av. y curapaligue,7,-58.45157703,-34.63063795,auto,auto,miércoles,conductor,auto,masculino,34
2016-0022,1,2016-02-21,6,avenida,"9 de julio av. y alsina, adolfo",1,-58.38144696,-34.61079875,moto,auto,domingo,pasajero_acompañante,moto,masculino,41
2016-0025,1,2016-02-28,4,autopista,"paz, gral. av. y 27 de febrero av.",8,-58.46244952,-34.70524971,auto,auto,domingo,pasajero_acompañante,auto,masculino,34
2016-0026,1,2016-02-28,7,calle,holmberg y vedia,12,-58.49216191,-34.54738649,auto,objeto fijo,domingo,conductor,auto,masculino,30
